Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,Los Angeles Chargers,4,111,166,66.9,1229,9,5.4,2,1.2,54,7.5,8.1,11.3,307.3,102.2,4,21,2.4,7.2,7.8,,,30.05
2,Indianapolis Colts,5,128,195,65.6,1208,5,2.6,7,3.6,44,7.1,6.0,10.8,241.6,79.8,21,168,9.7,5.6,4.6,3,2,-10.65
3,Buffalo Bills,4,113,170,66.5,1188,10,5.9,3,1.8,53,7.2,7.6,10.9,297.0,99.8,8,39,4.5,6.7,7.0,0,1,50.75
4,Miami Dolphins,4,94,140,67.1,1167,9,6.4,4,2.9,64,8.8,8.8,13.1,291.8,104.1,7,61,4.8,7.9,7.9,2,2,47.65
5,Denver Broncos,5,101,170,59.4,1155,4,2.4,3,1.8,67,7.4,7.1,12.4,231.0,82.8,16,99,8.6,6.2,5.9,2,2,17.38
6,New York Jets,4,111,193,57.5,1108,7,3.6,5,2.6,66,6.1,5.6,10.6,277.0,76.6,10,64,4.9,5.5,5.0,2,2,-8.31
7,Detroit Lions,4,93,152,61.2,1091,11,7.2,3,2,81,7.4,8.0,12.2,272.8,100.0,5,41,3.2,6.9,7.5,,,40.76
8,Philadelphia Eagles,4,82,123,66.7,1081,4,3.3,2,1.6,54,9.1,9.0,13.7,270.3,99.6,9,39,6.8,8.2,8.1,,,34.91
9,Kansas City Chiefs,4,97,147,66,1071,11,7.5,2,1.4,53,7.5,8.4,11.4,267.8,107.7,5,35,3.3,7.0,7.9,0,0,51.06
10,Cincinnati Bengals,4,101,157,64.3,1029,8,5.1,4,2.5,59,7.1,7.0,11.1,257.3,91.8,16,93,9.2,5.9,5.8,1,1,21.48
11,New Orleans Saints,4,93,143,65,1011,5,3.5,5,3.5,51,7.7,6.8,11.8,252.8,85.2,13,83,8.3,6.5,5.7,1,1,-2.93
12,Tampa Bay Buccaneers,4,106,155,68.4,1007,6,3.9,1,0.6,48,6.8,7.3,10.0,251.8,97.7,7,51,4.3,6.2,6.7,0,1,20.11
13,Seattle Seahawks,4,102,133,76.7,985,6,4.5,3,2.3,54,7.8,7.7,10.2,246.3,104.1,6,52,4.3,7.1,7.0,,,32.33
14,Minnesota Vikings,4,100,158,63.3,984,6,3.8,4,2.5,64,6.6,6.2,10.4,246.0,84.5,7,60,4.2,6.0,5.6,2,2,20.81
15,Las Vegas Raiders,4,95,155,61.3,973,6,3.9,4,2.6,60,6.7,6.3,11.0,243.3,83.3,10,69,6.1,5.9,5.5,,,19.78
16,Arizona Cardinals,4,115,177,65,950,5,2.8,2,1.1,30,5.7,5.7,8.7,237.5,84.5,7,53,3.8,5.2,5.2,1,2,4.12
17,Green Bay Packers,4,93,134,69.4,930,6,4.5,3,2.2,55,7.5,7.4,10.8,232.5,96.6,9,70,6.3,6.5,6.4,1,1,10.51
18,Washington Commanders,4,107,172,62.2,921,8,4.7,5,2.9,49,6.0,5.6,9.6,230.3,82.3,17,110,9,4.9,4.5,1,1,-4.42
19,Jacksonville Jaguars,4,88,134,65.7,905,8,6,2,1.5,49,7.1,7.6,10.8,226.3,99.9,6,41,4.3,6.5,7.0,,,29.13
20,Los Angeles Rams,4,106,150,70.7,902,4,2.7,6,4,32,6.8,5.5,9.6,225.5,81.4,16,113,9.6,5.4,4.3,,,-5.07
21,Baltimore Ravens,4,76,117,65,869,11,9.4,4,3.4,75,7.6,8.0,11.8,217.3,105.1,8,24,6.4,7.0,7.3,,,24.76
22,New England Patriots,4,79,118,66.9,851,3,2.5,5,4.2,44,7.8,6.4,11.7,212.8,81.2,9,71,7.1,6.7,5.4,,,-6.96
23,Dallas Cowboys,4,76,131,58,835,4,3.1,1,0.8,46,6.6,6.9,11.5,208.8,85.1,6,36,4.4,6.1,6.4,0,2,12.73
24,Houston Texans,4,88,142,62,828,5,3.5,4,2.8,58,6.4,5.8,10.3,207.0,80.4,11,80,7.2,5.4,4.9,,,-15.14
25,Cleveland Browns,4,82,127,64.6,790,4,3.1,2,1.6,42,6.5,6.5,10.1,197.5,87.1,5,40,3.8,6.0,5.9,1,1,13.38
26,San Francisco 49ers,4,62,108,57.4,757,3,2.8,2,1.9,57,7.4,7.1,12.9,189.3,82.3,7,41,6.1,6.6,6.3,,,4.00
27,Tennessee Titans,4,68,105,64.8,741,5,4.8,3,2.9,41,7.5,7.2,11.6,185.3,91.4,7,49,6.3,6.6,6.3,,,10.58
28,Pittsburgh Steelers,4,79,129,61.2,726,2,1.6,5,3.9,36,6.0,4.6,9.8,181.5,67.1,8,47,5.8,5.3,3.9,0,1,-16.72
29,Atlanta Falcons,4,57,98,58.2,724,3,3.1,4,4.1,42,7.9,6.7,13.7,181.0,76.9,7,55,6.7,6.9,5.8,1,1,30.28
30,Carolina Panthers,4,64,117,54.7,664,4,3.4,3,2.6,75,6.4,5.9,11.7,166.0,75.0,11,83,8.6,5.2,4.8,,,-19.98
31,New York Giants,4,68,108,63,558,3,2.8,3,2.8,65,5.9,5.3,9.4,139.5,77.0,14,84,11.5,4.6,4.0,1,2,-14.44
32,Chicago Bears,4,34,67,50.7,390,2,3,4,6,56,7.0,4.9,13.9,97.5,58.7,16,81,19.3,4.7,3.0,1,2,-20.48
,Avg Team,,89.7,140.3,63.9,925.9,5.8,4.2,3.4,2.4,54,7.1,6.8,11.0,227.9,88.4,9.6,64.2,6.4,6.17,5.9,0.6,0.8,12.5
,League Total,,2869,4491,63.9,29628,187,4.2,110,2.4,81,7.1,6.8,11.0,227.9,88.4,308,2053,6.4,6.17,5.9,20,27,
,Avg Tm/G,,22.1,34.5,63.9,227.9,1.4,4.2,0.8,2.4,,7.1,6.8,11.0,227.9,88.4,2.4,15.8,6.4,6.17,5.9,,,
